ID;Gebruiksfunctie;RegioS;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;OverigeToevoeging_3;Sloop_4;OverigeOnttrekking_5;Correctie_6;SaldoVoorraad_7;EindstandVoorraad_8
145984;A045364;GM0183;2018JJ00;8490;90;28;64;19;0;35;8525
146001;A045364;GM0183;2019JJ00;8525;78;18;17;28;28;79;8604
146018;A045364;GM0183;2020JJ00;8604;68;77;18;11;0;116;8720
146043;A045364;GM1700;2012JJ00;13097;20;210;8;202;7;27;13124
146060;A045364;GM1700;2013JJ00;13124;121;306;21;57;14;363;13488
146077;A045364;GM1700;2014JJ00;13488;98;17;16;13;0;86;13574
146094;A045364;GM1700;2015JJ00;13574;51;16;7;28;3;35;13609
146111;A045364;GM1700;2016JJ00;13609;68;13;9;55;-5;12;13621
146128;A045364;GM1700;2017JJ00;13621;51;13;4;17;0;43;13664
146145;A045364;GM1700;2018JJ00;13664;40;16;5;12;2;41;13705
146162;A045364;GM1700;2019JJ00;13705;104;38;2;28;2;114;13819
146179;A045364;GM1700;2020JJ00;13819;54;7;9;7;-17;28;13847
146204;A045364;GM1730;2012JJ00;14119;81;80;24;333;66;-130;13989
146221;A045364;GM1730;2013JJ00;13989;108;6;45;12;-63;-6;13983
146238;A045364;GM1730;2014JJ00;13983;29;15;9;162;1;-126;13857
146255;A045364;GM1730;2015JJ00;13857;101;15;9;9;3;101;13958
146272;A045364;GM1730;2016JJ00;13958;79;45;10;7;54;161;14119
146289;A045364;GM1730;2017JJ00;14119;111;11;23;1;-6;92;14211
146306;A045364;GM1730;2018JJ00;14211;114;70;11;5;24;192;14403
146323;A045364;GM1730;2019JJ00;14403;98;25;16;10;0;97;14500
146340;A045364;GM1730;2020JJ00;14500;91;21;3;10;-3;96;14596
146365;A045364;GM0737;2012JJ00;13621;48;183;1;614;15;-369;13252
146382;A045364;GM0737;2013JJ00;13252;44;195;24;11;1;205;13457
146399;A045364;GM0737;2014JJ00;13457;132;12;34;14;0;96;13553
146416;A045364;GM0737;2015JJ00;13553;84;22;0;13;0;93;13646
146433;A045364;GM0737;2016JJ00;13646;59;37;1;11;0;84;13730
146450;A045364;GM0737;2017JJ00;13730;51;27;0;8;0;70;13800
146467;A045364;GM0737;2018JJ00;13800;135;24;1;15;0;143;13943
146484;A045364;GM0737;2019JJ00;13943;169;17;79;7;1;101;14044
146501;A045364;GM0737;2020JJ00;14044;49;17;9;9;1;49;14093
146526;A045364;GM0282;2012JJ00;4066;35;64;0;2;49;146;4212
146543;A045364;GM0282;2013JJ00;4212;37;54;12;9;1;71;4283
146560;A045364;GM0282;2014JJ00;4283;13;17;0;5;0;25;4308
146577;A045364;GM0282;2015JJ00;;;;;;;;
146594;A045364;GM0282;2016JJ00;;;;;;;;
146611;A045364;GM0282;2017JJ00;;;;;;;;
146628;A045364;GM0282;2018JJ00;;;;;;;;
146645;A045364;GM0282;2019JJ00;;;;;;;;
146662;A045364;GM0282;2020JJ00;;;;;;;;
146687;A045364;GM0856;2012JJ00;17266;181;26;5;12;16;206;17472
146704;A045364;GM0856;2013JJ00;17472;71;297;10;62;14;310;17782
146721;A045364;GM0856;2014JJ00;17782;120;112;7;20;1;206;17988
146738;A045364;GM0856;2015JJ00;17988;118;69;6;60;1;122;18110
146755;A045364;GM0856;2016JJ00;18110;144;24;6;23;4;143;18253
146772;A045364;GM0856;2017JJ00;18253;198;34;7;2;-2;221;18474
146789;A045364;GM0856;2018JJ00;18474;145;74;8;16;0;195;18669
146806;A045364;GM0856;2019JJ00;18669;314;54;7;13;1;349;19018
146823;A045364;GM0856;2020JJ00;19018;109;23;33;11;1;89;19107
146848;A045364;GM0450;2012JJ00;5221;108;9;6;5;0;106;5327
146865;A045364;GM0450;2013JJ00;5327;99;53;2;4;0;146;5473
