Regio's,voorraad_median,voorraad_min,voorraad_max,nieuwbouw_median,nieuwbouw_min,nieuwbouw_max,dif_voorraad,dif_nieuwbouw
Purmerend,35581,34893,36701,210,58,668,5.181555039692782,1151.7241379310344
Putten,9649,9382,9825,82,31,174,4.721807716904721,561.2903225806452
Raalte,15385,15228,15902,132,70,206,4.426057262936695,294.28571428571433
Reimerswaal,8994,8662,9298,84,40,181,7.342415146617427,452.50000000000006
Renkum,14653,14486,14985,58,3,134,3.4447052326383982,4466.666666666666
Renswoude,1885,1752,2134,27,2,117,21.80365296803653,5850.0
Reusel-De Mierden,5275,5021,5484,51,24,77,9.221270663214497,320.83333333333337
Rheden,20970,20189,21212,62,23,194,5.067115756104812,843.4782608695652
Rhenen,7755,7482,8225,80,1,245,9.930499866345883,24500.0
Ridderkerk,20747,19862,21140,77,3,356,6.43439734165743,11866.666666666668
Rijnwaarden,4782,4722,4795,5,3,8,1.545955103769586,266.66666666666663
Rijnwoude,7447,7399,7495,31,17,45,1.2974726314366904,264.70588235294116
Rijssen-Holten,14298,13714,14760,137,25,184,7.627242234213199,736.0
Rijswijk (ZH.),25606,24442,26905,266,53,482,10.076916782587347,909.433962264151
Roerdalen,9405,9016,9477,33,1,90,5.1131322094055065,9000.0
Roermond,27111,26531,27649,110,83,166,4.213938411669375,200.0
Roosendaal,34718,33869,35363,142,28,254,4.41111340754081,907.1428571428571
Rotterdam,311168,306227,315565,1114,525,2006,3.0493718711935855,382.0952380952381
Rozendaal,635,627,688,6,0,27,9.728867623604472,inf
Rucphen,9534,9194,9822,51,13,132,6.830541657602794,1015.3846153846154
Schagen,19814,8302,20334,118,38,220,144.92893278728016,578.9473684210526
Schermer,2179,2169,2182,2,1,17,0.5993545412632528,1700.0
Scherpenzeel,3725,3632,4002,48,14,98,10.187224669603538,700.0
Schiedam,36751,35834,37292,112,53,337,4.068761511413726,635.8490566037735
Schiermonnikoog,584,578,591,1,0,9,2.2491349480968807,inf
Schijndel,9705,9223,9862,53,38,346,6.928331345549182,910.5263157894736
Schinnen,5916,5884,5952,6,0,24,1.1556764106050395,inf
Schoonhoven,5049,5039,5179,124,3,153,2.7783290335384123,5100.0
